Current Kubernetes Context: mps-mde-k8s-prd-canc-5
namespace : tvm
+------------------------------------------------+------------------------------------------------------------------------+--------------+---------+--------+
|                         Service (Release) name |                                                              Node type | Max replicas |  Memory |    CPU |
+------------------------------------------------+------------------------------------------------------------------------+--------------+---------+--------+
namespace : cloud
+------------------------------------------+-----------------------------------------------------------------------+--------------+---------+--------+
|                   Service (Release) name |                                                             Node type | Max replicas |  Memory |    CPU |
+------------------------------------------+-----------------------------------------------------------------------+--------------+---------+--------+
| cloud-aadmachineinfo-core                | Standard_D32s_v3                                                      | 200          | 14Gi    | 8      |
| cloud-alertwebhooks-functions            | Standard_D32s_v3                                                      | 4            | 16Gi    | 4      |
| cloud-api-filesimilarity                 | {'Standard_D32s_v3': 1, 'Standard_E48s_v3': 2, 'Standard_D64s_v3': 1} | 32           | 2Gi     | 1      |
| cloud-api-kqlcompiler                    | {'Standard_E48s_v3': 2, 'Standard_D32s_v3': 2}                        | 32           | 2Gi     | 1      |
| cloud-apiportal                          | Standard_D32s_v3                                                      | 32           | 4Gi     | 2      |
| cloud-api-public-external                | Standard_D32s_v3                                                      | 48           | 64Gi    | 8      |
| cloud-api-public-internal                | Standard_D32s_v3                                                      | 45           | 32Gi    | 8      |
| cloud-api-public-isg-msgraph             | Standard_D32s_v3                                                      | 20           | 32Gi    | 8      |
| cloud-api-public-msgraph                 | Standard_D32s_v3                                                      | 24           | 32Gi    | 8      |
| cloud-api-siam                           | Standard_D32s_v3                                                      | 4            | 16Gi    | 8      |
| cloud-asm-cnc                            | {'Standard_E48s_v3': 6, 'Standard_D64s_v3': 2}                        | 32           | 1024Mi  | 250m   |
| cloud-commands-functions                 | Standard_D32s_v3                                                      | 20           | 16Gi    | 4      |
| cloud-configurations-functions           | Standard_D32s_v3                                                      | 20           | 54780Mi | 13750m |
| cloud-cosmos-forwarder                   | Standard_D32s_v3                                                      | 100          | 16Gi    | 4      |
| cloud-datastreaming-alerts               | Standard_D32s_v3                                                      | 8            | 6Gi     | 4      |
| cloud-datastreaming-functions            | Standard_D32s_v3                                                      | {}           | 6Gi     | 2      |
| cloud-datastreaming-itp                  | Standard_D32s_v3                                                      | 64           | 10Gi    | 5      |
| cloud-datastreaming-itp-2                | Standard_D32s_v3                                                      | 64           | 10Gi    | 5      |
| cloud-datastreaming-mde-q0               | Standard_D32s_v3                                                      | 1200         | 20Gi    | 7      |
| cloud-datastreaming-mdi                  | Standard_D32s_v3                                                      | 32           | 10Gi    | 4      |
| cloud-datastreaming-mdo                  | Standard_D32s_v3                                                      | 32           | 10Gi    | 4      |
| cloud-datastreaming-oatp                 | Standard_D32s_v3                                                      | 16           | 6Gi     | 4      |
| cloud-datastreaming-oatp-detector        | Standard_D32s_v3                                                      | 16           | 6Gi     | 4      |
| cloud-datastreaming-observations-mda     | Standard_D32s_v3                                                      | 101          | 10Gi    | 4      |
| cloud-datastreaming-observations-mde     | Standard_D32s_v3                                                      | 101          | 10Gi    | 4      |
| cloud-datastreaming-radius               | Standard_D32s_v3                                                      | 8            | 10Gi    | 4      |
| cloud-dlp-eventforwarder                 | Standard_D32s_v3                                                      | 100          | 14Gi    | 4      |
| cloud-dlp-functions                      | Standard_D32s_v3                                                      | {}           | 16Gi    | 4      |
| cloud-dlpinternalapi                     | {'Standard_E48s_v3': 1, 'Standard_D64s_v3': 1}                        | 32           | 4Gi     | 2      |
| cloud-endpointconfigmanagement-functions | Standard_D32s_v3                                                      | 4            | 16Gi    | 4      |
| cloud-eventforwarding-external           | Standard_D32s_v3                                                      | 100          | 14Gi    | 4      |
| cloud-eventforwarding-internal           | Standard_D32s_v3                                                      | 600          | 28Gi    | 7      |
| cloud-incidentnotifications-functions    | Standard_D32s_v3                                                      | 6            | 16Gi    | 4      |
| cloud-indicators-detector                | Standard_D32s_v3                                                      | 600          | 32Gi    | 8      |
| cloud-intune-functions                   | Standard_D32s_v3                                                      | 20           | 8Gi     | 4      |
| cloud-liverresponseapi                   | Standard_D32s_v3                                                      | 32           | 8Gi     | 4      |
| cloud-mdb-recommendationsapiservice      | Standard_D32s_v3                                                      | 4            | 512Mi   | 250m   |
| cloud-mdb-valuereport-internalservice    | Standard_D32s_v3                                                      | 4            | 1024Mi  | 250m   |
| cloud-monitoring-general                 | Standard_D32s_v3                                                      | {}           | 4Gi     | 4      |
| cloud-monitoring-publicapi               | Standard_D32s_v3                                                      | {}           | 4Gi     | 4      |
| cloud-monitoring-responses               | Standard_D32s_v3                                                      | {}           | 4Gi     | 4      |
| cloud-omstelemetryfrontend               | Standard_D32s_v3                                                      | 8            | 20Gi    | 5      |
| cloud-pivot-api                          | Standard_D32s_v3                                                      | 256          | 8Gi     | 2      |
| cloud-pivot-kustomonitoring              | Standard_D32s_v3                                                      | {}           | 6Gi     | 2      |
| cloud-pivot-tests                        | Standard_D32s_v3                                                      | {}           | 8Gi     | 2      |
| cloud-pivot-writer-mde                   | Standard_D32s_v3                                                      | 1000         | 28Gi    | 7      |
| cloud-pivot-writer-mdo-mail              | Standard_D32s_v3                                                      | 64           | 16Gi    | 4      |
| cloud-promitor-resourcediscovery         | {'Standard_D64s_v3': 1}                                               | {}           | 4096Mi  | 1      |
| cloud-promitor-scraper                   | {'Standard_E48s_v3': 1}                                               | {}           | 4096Mi  | 1      |
| cloud-requestsapi                        | Standard_D32s_v3                                                      | 32           | 12Gi    | 4      |
| cloud-response-functions                 | Standard_D32s_v3                                                      | 20           | 16Gi    | 4      |
| cloud-risk-functions                     | Standard_D32s_v3                                                      | 6            | 16Gi    | 4      |
| cloud-scrubber-core                      | Standard_D32s_v3                                                      | 175          | 32Gi    | 9300m  |
| cloud-sql-export-functions               | Standard_D32s_v3                                                      | 4            | 100Gi   | 16     |
| cloud-sql-functions                      | Standard_D32s_v3                                                      | 4            | 16Gi    | 4      |
| cloud-telemetry-enricher                 | Standard_D64s_v3                                                      | 900          | 56Gi    | 14     |
| cloud-telemetry-pipelines                | Standard_D32s_v3                                                      | 32           | 21600Mi | 5200m  |
| cloud-telemetry-preprocessor             | Standard_D32s_v3                                                      | 1200         | 40Gi    | 7      |
| cloud-telemetryfrontend-airs             | Standard_D32s_v3                                                      | 20           | 8Gi     | 2      |
| cloud-telemetryfrontend-asimov           | Standard_D32s_v3                                                      | 2048         | 22Gi    | 5      |
| cloud-telemetryfrontend-asimov-queue     | Standard_D32s_v3                                                      | 1200         | 22Gi    | 4      |
| cloud-telemetryfrontend-partners         | Standard_D32s_v3                                                      | 256          | 12Gi    | 2      |
